timestamp_utc,camera_id,camera_name,anomaly_type,missing_equipment,observed_equipment,confidence,screenshot_path
2026-05-10T08:41:03.868360+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:41:03.977053+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:41:05.077862+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:41:05.430062+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:41:06.289376+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:41:06.508781+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:41:06.870811+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:41:07.091183+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:41:08.121785+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:41:09.691749+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:41:09.863106+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:41:11.151088+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:19.957476+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:42:21.217413+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:21.529145+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:22.384597+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:22.480555+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:42:25.076095+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:27.844585+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:42:28.115115+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:30.142077+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:42:30.424011+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:30.742852+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:31.086201+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:31.559189+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:32.541132+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:34.139546+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:42:34.279542+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:34.421199+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:34.707360+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:35.314897+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:36.092505+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:36.666349+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:42:37.256569+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:37.678455+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:38.839200+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:39.403565+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:42:39.526219+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:39.900022+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:40.650414+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:40.871748+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:41.076386+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:41.561865+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:42:41.609204+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:42.294276+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:42.403713+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:44.436015+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:42:44.559400+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:44.805380+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:46.467380+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:42:46.910590+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:47.295869+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:48.860999+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:42:49.144420+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:50.689884+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:50.886904+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:42:50.996518+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:51.103842+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:51.463831+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:51.574236+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:51.933544+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:52.047619+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:42:52.456395+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:43:00.254259+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:44:08.792628+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:00.634977+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:49:03.801193+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:03.863777+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:49:03.927707+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:04.320811+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:04.505545+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:05.898780+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:06.803705+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:49:06.852561+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:07.354645+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:07.465909+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:16.145880+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:16.196883+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:49:16.258328+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:58.799990+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:49:59.089766+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:59.558219+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:59.770121+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:49:59.956574+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:50:00.697365+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:50:01.138811+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:50:01.389914+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:50:14.281149+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:50:14.342316+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:50:14.531543+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:50:14.896899+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:50:15.491653+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:50:16.959057+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:50:17.143118+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:50:17.204450+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
2026-05-10T08:50:19.254786+00:00,cam_1,Entrance Camera,missing_ppe,"helmet, vest, goggles, gloves","56, person",0.0,
2026-05-10T08:50:19.365183+00:00,cam_1,Entrance Camera,anomaly_cleared,,compliance restored,0.0,
